execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER_ACCOUNT,First_join,First_tweet,Comments ,Twitterlist
20752,Jeffery S. Potter,,Red,@HFCCchef,3/21/2011,4/1/2011,fake account,1
24990,"Jeffrey A. Graves, Ph.D.",,Red,@Jeff_Graves_63,2/15/2015,6/24/2015,fake account,1
16647,Jeffrey A. Joerres,YES,Green,@ManpowerGroupJJ,4/20/2009,5/29/2009,,1
14882,"Jeffrey B. Kindler, J.D.",,Red,@JeffKindler,9/14/2011,9/14/2011,fake account,1
34015,Jeffrey Katzenberg,YES,Green,@J__Katz,8/8/2011,8/9/2011,,1
26472,Jeffrey L. McWaters,,Green,@JeffMcWaters,7/21/2009,8/1/2009,retair ,1
27334,Jeffrey M. Ettinger,YES,Green,@JeffreyEttinger,11/12/2013,11/22/2013,low tweets ,1
15055,Jeffrey P. Bezos,,Green,@Plaid_Bezos,9/6/2012,9/11/2012,,1
20859,Jeffrey R. Immelt,YES,Blue,@JeffImmelt,8/21/2012,9/12/2012,,1
44256,Jerome A. Peribere,YES,Green,@JPeribere,11/15/2013,11/15/2013,,1
8180,Jerry C. Atkin,,Red,@JerryAtkin,7/21/2010,,No tweeted ,1
37921,Joe E. Kiani,,Green,@JoeKiani,2/17/2013,4/24/2015,first tweet after retair ,1
43827,"John A. Addison, Jr.",,Green,@JohnAddisonGA,3/27/2015,5/26/2015,2015y,1
20439,John H. Heyman,YES,Green,@johnheyman,3/17/2009,5/7/2009,,1
17223,John H. Schnatter,,Blue,@IAmPapaJohn,11/15/2011,11/18/2011,,1
29529,"John J. Donahoe, II",YES,Blue,@Donahoe_John,2/20/2010,2/20/2010,,1
25711,John J. Haley,,Green,@JohnJamesHaley,5/22/2015,5/22/2015,retair ,1
27292,John J. Legere,,Blue,@JohnLegere,5/1/2013,7/6/2013,retair ,1
45152,John M. Foraker,YES,Green,@AnniesCEO,2/15/2009,12/16/2009,,1
3497,John P. McConnell,,Red,@JohnPMcConnell,11/22/2011,4/9/2013,fake account,1
1463,"John P. McLaughlin, J.D.",YES,Green,@jmclaughlin173,11/4/2008,1/3/2009,New,1
29665,John R. Koelmel,,Red,@jrk8104,6/22/2012,10/26/2013,fake account,1
9349,John S. Chen,,Blue,@JohnChen,12/2/2013,5/8/2015,retair ,1
15533,John S. Riccitiello,YES,Green,@johnriccitiello,2/19/2009,2/20/2009,,1
40413,John T. Kilcoyne,,Green,@JohnKilcoyneCEO,8/3/2015,8/17/2015,retair ,1
36504,Jon E. Kirchner,,Red,@JonKirchner,12/29/2009,9/21/2013,fake account,1
32525,Jonas Prising,YES,Green,@JonasPrising,8/11/2008,1/20/2012,,1
34796,Jonathan D. Klein,,Blue,@JonathanDKlein,7/24/2014,8/6/2014,retair ,1
27199,Jonathan I. Schwartz,YES,Green,@OpenJonathan,12/14/2007,4/30/2008,,1
31283,Jonathan S. Huberman,,Green,@Jon_Huberman,8/14/2015,8/17/2015,retair ,1
46038,Jory J. Marino,YES,Green,@jory_marino,1/30/2013,1/13/2014,,1
43696,Joseph C. Magnacca,,Red,@JosephMagnacca,2/18/2014,,fake account,1
47086,Joseph F. Eazor,YES,Green,@joe_eazor,10/27/2013,4/10/2015,New,1
7182,Joseph W. Alsop,,Green,@JoeAlsop,10/6/2009,12/6/2012,low tweets ,1
28513,Kambiz Y. Hooshmand,,Green,@KambizHoo,4/6/2010,4/7/2010,retair ,1
33415,Karl McDonnell,YES,Blue,@Karl_McDonnell,2/8/2011,2/9/2011,,1
30312,"Keith Rupert Murdoch, AC",,Red,@OldRupert,7/22/2011,7/22/2011,fake account,1
36345,Kenneth D. Denman,,Green,@kendenman,3/1/2009,3/15/2009,,1
7568,Kent J. Thiry,YES,Blue,@KentThiry,10/4/2012,4/24/2014,,1
34354,Kevin A. Plank,,Red,@Kevin_Plank74,N/A,,fake account,1
27254,Kieran T. Gallahue,,Red,@Gallkt,5/19/2009,,No tweeted ,1
35196,Kimberly S. Lubel,,Green,@CornerStoreKim,6/11/2015,7/9/2015,2015y,1
33797,Klaus P. Besier,,Green,@Besier_K,3/29/2013,4/23/2013,retair ,1
46369,Laura Wicke Lang,YES,Green,@lwlang,4/25/2009,6/8/2010,,1
717,Lawrence J. Ellison,YES,Blue,@larryellison,5/31/2012,6/6/2012,low tweets ,1
35475,Lip-Bu Tan,,Red,@lip_bu,1/12/2013,,No tweeted ,1
31515,Louis DiNardo,YES,Green,@loudinardo,7/18/2008,7/18/2008,,1
39977,LuAnn Via,,Red,@LuAnnVia,3/26/2009,,No tweeted ,1
35189,Lynn Laverty Elsenhans,,Red,@LynnElsenhans,10/26/2011,3/13/2015,fake account,1
21016,Lynn R. Blodgett,,Red,@BlodgettLynn,12/6/2014,,fake account,1
14530,M. J. Desch,YES,Green,@IridiumBoss,4/9/2009,5/8/2009,,1
37918,"Magid M. Abraham, Ph.D.",YES,Green,@m_abraham,4/9/2009,4/12/2009,,1
35712,Marc Benioff,YES,Blue,@Benioff,2/28/2009,2/28/2009,,1
31875,Marc E. Chardon,YES,Green,@MarcChardon,4/25/2008,9/30/2009,,1
5706,Margaret C. Whitman,YES,Blue,@MegWhitman,2/12/2009,2/24/2009,New,1
44708,Marissa A. Mayer,YES,Blue,@marissamayer,11/19/2008,7/21/2009,,1
32024,Mark A. Canepa,,Green,@CanepaMark,12/17/2011,2/7/2012,low tweets ,1
16171,Mark B. Templeton,,Blue,@CitrixCEO,10/21/2015,5/6/2015,retair ,1
31620,Mark K. Tonnesen,,Green,@mtonnese,6/15/2009,9/13/2009,low tweets ,1
7616,Mark R. Goldston,,Red,@GoldstonMark,8/3/2015,,No tweeted ,1
31029,Mark T. Bertolini,YES,Blue,@mtbert,9/2/2009,9/2/2009,,1
18929,Mark Vincent Hurd,,Green,@MarkVHurd,11/16/2011,6/30/2014,,1
45313,Mark Zuckerberg,YES,Green,@finkd,2/12/2009,2/12/2009,,1
5055,Marshall N. Morton,YES,Green,@MMortonMG,10/26/2011,10/26/2011,New,1
14644,Mary E. Junck,YES,Green,@maryjunck,12/30/2010,12/30/2010,low tweets ,1
37343,Mary G. Berner,,Green,@MaryBerner,6/17/2013,3/31/2014,low tweets ,1
