execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Twitterlist,Number_follower,Number_following
24990,"Jeffrey A. Graves, Ph.D.",,Red,@Jeff_Graves_63,2/15/2015,6/24/2015,fake account,1,4,26
16647,Jeffrey A. Joerres,YES,Green,@ManpowerGroupJJ,4/20/2009,5/29/2009,,1,9154,1382
14882,"Jeffrey B. Kindler, J.D.",,Red,@JeffKindler,9/14/2011,9/14/2011,fake account,1,148,102
34015,Jeffrey Katzenberg,YES,Green,@J__Katz,8/8/2011,8/9/2011,,1,882,48
26472,Jeffrey L. McWaters,,Green,@JeffMcWaters,7/21/2009,8/1/2009,retair ,1,1347,139
27334,Jeffrey M. Ettinger,YES,Green,@JeffreyEttinger,11/12/2013,11/22/2013,low tweets ,1,97,8
15055,Jeffrey P. Bezos,,Green,@Plaid_Bezos,9/6/2012,9/11/2012,,1,6273,240
20859,Jeffrey R. Immelt,YES,Blue,@JeffImmelt,8/21/2012,9/12/2012,,1,42378,82
44256,Jerome A. Peribere,YES,Green,@JPeribere,11/15/2013,11/15/2013,,1,603,230
8180,Jerry C. Atkin,,Red,@JerryAtkin,7/21/2010,,No tweeted ,1,21,0
37921,Joe E. Kiani,,Green,@JoeKiani,2/17/2013,4/24/2015,first tweet after retair ,1,7047,62
43827,"John A. Addison, Jr.",,Green,@JohnAddisonGA,3/27/2015,5/26/2015,2015y,1,6023,2344
20439,John H. Heyman,YES,Green,@johnheyman,3/17/2009,5/7/2009,,1,309,16
17223,John H. Schnatter,,Blue,@IAmPapaJohn,11/15/2011,11/18/2011,,1,11434,24
29529,"John J. Donahoe, II",YES,Blue,@Donahoe_John,2/20/2010,2/20/2010,,1,14201,726
25711,John J. Haley,,Green,@JohnJamesHaley,5/22/2015,5/22/2015,retair ,1,597,50
27292,John J. Legere,,Blue,@JohnLegere,5/1/2013,7/6/2013,retair ,1,3260394,215
45152,John M. Foraker,YES,Green,@AnniesCEO,2/15/2009,12/16/2009,,1,2915,168
