Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Begin year,Begin Month,End year,End Month
CLIFFS NATURAL RESOURCES HOLDINGS PTY LTD ,69112437331,135137,315,1947102,2014,8,2015,7
CMOC MINING PTY LIMITED ,17164997317,17264,203145,1121185,2014,8,2015,7
COCA-COLA AMATIL LIMITED ,26004139397,49239,147631,1489707,2014,8,2015,7
COCKATOO COAL LIMITED ,13112682158,50769,379,565347,2014,8,2015,7
COLLINS TRANSPORT GROUP PTY LTD ,66098659342,47480,3517,696649,2014,8,2015,7
COMFORTDELGRO CABCHARGE PTY LTD ,84002072004,80323,3804,1163646,2014,8,2015,7
COMGEN AUSTRALIA PTY LTD ,17050242441,423540,13070,1142329,2014,8,2015,7
COMMONWEALTH BANK OF AUSTRALIA ,48123123124,8108,101125,546060,2014,8,2015,7
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION ,41687119230,14997,110530,696917,2014,8,2015,7
COMPETITIVE FOODS AUSTRALIA PTY LTD ,48010542908,17310,137195,891379,2014,8,2015,7
CONOCOPHILLIPS AUSTRALIA GAS HOLDINGS PTY LTD ,69081089170,2348618,2672,248981651,2014,8,2015,7
CONSOLIDATED MINERALS HOLDINGS (AUSTRALIA) PTY LTD ,88127662257,60523,122,885279,2014,8,2015,7
CONTRACT POWER AUSTRALIA PTY LTD ,48081538258,120768,0,1725404,2014,8,2015,7
CO-OPERATIVE BULK HANDLING LIMITED ,29256604947,9249,53836,387989,2014,8,2015,7
CRAIG MOSTYN HOLDINGS PTY LIMITED ,14008398356,34030,18874,437099,2014,8,2015,7
CRISTAL AUSTRALIA PTY LTD ,21102888559,65808,71626,1258081,2014,8,2015,7
CRISTAL INORGANIC CHEMICALS AUSTRALIA PTY LTD ,20125123784,131328,46179,1759317,2014,8,2015,7
CROWN RESORTS LIMITED ,39125709953,23991,153602,942440,2014,8,2015,7
CS ENERGY LIMITED2 ,54078848745,13131828,152430,94407427,2014,8,2015,7
CSL LIMITED ,99051588348,15078,73814,518084,2014,8,2015,7
CSR LIMITED ,90000001276,348304,233714,6563445,2014,8,2015,7
D&R HENDERSON PTY LTD ,22000449392,19866,43484,662045,2014,8,2015,7
DALRYMPLE BAY COAL TERMINAL PTY. LTD. ,12010268167,2732,94650,460973,2014,8,2015,7
DAVID JONES PTY LIMITED ,75000074573,5321,82204,362380,2014,8,2015,7
DBNGP (WA) TRANSMISSION PTY LIMITED ,69081609190,265017,1518,4635311,2014,8,2015,7
DEAKIN UNIVERSITY ,56721584203,8508,57375,336700,2014,8,2015,7
DELTA ELECTRICITY ,67139819642,6061800,51745,43774284,2014,8,2015,7
DEXUS HOLDINGS PTY LIMITED ,48110366946,15012,133574,703284,2014,8,2015,7
DIAMANTINA HOLDING COMPANY PTY LIMITED ,59149762130,613667,95,7090878,2014,8,2015,7
DORAL PTY LTD ,85008902841,17543,39892,456294,2014,8,2015,7
DOWNER EDI LIMITED ,97003872848,162624,49979,2970344,2014,8,2015,7
DP WORLD AUSTRALIA (HOLDING) PTY LTD ,58147892715,23419,50442,603873,2014,8,2015,7
EASTERN HEALTH ,68223819017,7743,49895,298156,2014,8,2015,7
EASTERN METROPOLITAN REGIONAL COUNCIL ,89631866056,114766,585,32640,2014,8,2015,7
ECOGEN HOLDINGS PTY LTD ,78102872524,68281,31479,1046448,2014,8,2015,7
ELECTRANET PTY LIMITED ,41094482416,733,219355,1301723,2014,8,2015,7
ELECTRICITY GENERATION AND RETAIL CORPORATION ,58673830106,7721908,7152,62318364,2014,8,2015,7
ELECTRICITY NETWORKS CORPORATION ,18540492861,45254,810442,4381799,2014,8,2015,7
ENDEAVOUR ENERGY ,59253130878,22390,590682,2677784,2014,8,2015,7
ENERGEX LIMITED ,40078849055,25544,926000,4412062,2014,8,2015,7
ENERGY DEVELOPMENTS LIMITED ,84053410263,1318296,2425,19988311,2014,8,2015,7
ENERGYAUSTRALIA HOLDINGS LIMITED ,57101876135,20595391,362447,164842542,2014,8,2015,7
ERGON ENERGY CORPORATION LIMITED ,50087646062,103373,663073,3944662,2014,8,2015,7
ERM POWER LIMITED ,28122259223,387164,5210,5551029,2014,8,2015,7
ESPERANCE POWER STATION PTY LTD ,24086409949,58134,0,857912,2014,8,2015,7
ESSENTIAL ENERGY ,37428185226,30639,851064,3913612,2014,8,2015,7
EVENT HOSPITALITY AND ENTERTAINMENT LTD ,51000005103,11505,135897,788311,2014,8,2015,7
EVOLUTION MINING (MUNGARI) PTY LTD ,90002124745,26786,52149,641736,2014,8,2015,7
EVOLUTION MINING LIMITED ,74084669036,80619,203565,2093446,2014,8,2015,7
EXXONMOBIL AUSTRALIA PTY LTD ,48091561198,2233680,249356,165233998,2014,8,2015,7
F & F MANAGEMENT PTY. LTD ,36133040721,1634,55284,247577,2014,8,2015,7
FAIRFAX MEDIA LIMITED ,15008663161,6241,43900,279427,2014,8,2015,7
FARSTAD SHIPPING (INDIAN PACIFIC) PTY. LTD. ,40105011989,202914,0,3066748,2014,8,2015,7
FIGELA PTY LTD,64303782037,70283,0,12335,2014,8,2015,7
FLETCHER BUILDING (AUSTRALIA) PTY LTD ,11093539452,79356,294700,3668234,2014,8,2015,7
FMR INVESTMENTS PTY LTD ,-,45178,13059,718527,2014,8,2015,7
FOOD INVESTMENTS PTY LTD ,85008426177,93950,142249,2220080,2014,8,2015,7
FORD MOTOR COMPANY OF AUSTRALIA LIMITED ,30004116223,19196,141036,784928,2014,8,2015,7
FORESTRY COMMISSION OF NEW SOUTH WALES ,43141857613,57756,1221,834140,2014,8,2015,7
FORTESCUE METALS GROUP LTD ,57002594872,1550294,374074,24361575,2014,8,2015,7
FOSTER'S GROUP PTY LTD ,49007620886,40439,79944,933357,2014,8,2015,7
