Controlling Corporation,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ),Begin year,Begin Month,End year,End Month
G James Pty Ltd,12673,40660,375665,2010,8,2011,7
General Motors Australia Ltd,38550,122369,1276530,2010,8,2011,7
Gladstone Ports Corporation Limited,30925,64615,707849,2010,8,2011,7
Glideco Pty Limited,9868,76023,444900,2010,8,2011,7
Global Switch Australia Pty Limited,0,116873,467490,2010,8,2011,7
Gloucester Coal Ltd,61811,21266,783972,2010,8,2011,7
Gold Fields Australia Pty Ltd,87112,130358,2192900,2010,8,2011,7
Goldfields Power Pty Ltd,150749,0,2915474,2010,8,2011,7
Golding Contractors Pty Ltd,61795,685,268158,2010,8,2011,7
Goodman Fielder Limited,72290,88547,1525171,2010,8,2011,7
GPT Management Holdings Ltd,9463,154112,742335,2010,8,2011,7
Graincorp Limited,49777,154782,1452064,2010,8,2011,7
Grange Resources Limited,168228,64452,3483113,2010,8,2011,7
Great Energy Alliance Corporation Pty Ltd,19378906,247305,213649799,2010,8,2011,7
Gujarat NRE Coking Coal Limited,760619,48133,233967,2010,8,2011,7
Gunns Limited,8787,50069,2093937,2010,8,2011,7
GWI Holdings No.2 Pty Ltd,98805,1778,1430619,2010,8,2011,7
Hamsdale Australia Pty Limited,29637,30769,390151,2010,8,2011,7
Hanson Australia (Holdings) Proprietary Limited,248048,65398,3156223,2010,8,2011,7
Harvey Norman Holdings Limited,5041,163641,705504,2010,8,2011,7
Healthscope Hospitals Holdings Pty Ltd,10698,87900,563214,2010,8,2011,7
Heinz Watties Pty Ltd,42508,40673,720314,2010,8,2011,7
Hewlett-Packard South Pacific Pty Ltd,120,85907,286050,2010,8,2011,7
Holcim Participations (Australia) Pty Ltd.,213742,80661,3511475,2010,8,2011,7
Holiday Inns Holdings (Australia) Pty Ltd,17777,86061,684527,2010,8,2011,7
Honan Holdings Pty Ltd,337139,228512,5766564,2010,8,2011,7
HP Enterprise Services Australia Pty Ltd,385,56975,237579,2010,8,2011,7
HRL Limited,2457380,182455,32659072,2010,8,2011,7
Hunter Water Corporation,32871,71686,374824,2010,8,2011,7
Huntsman Corporation Australia Pty Ltd,14632,76788,2282012,2010,8,2011,7
Hydro Aluminium Kurri Kurri Pty Ltd,378965,2584860,13947128,2010,8,2011,7
Hyne & Son Pty. Limited,6611,66645,2761055,2010,8,2011,7
IBM A/NZ Holdings Pty Limited,971,101510,393050,2010,8,2011,7
ICC Holdings Pty Limited,154427,2234,9034926,2010,8,2011,7
Idemitsu Australia Resources Pty Ltd,337192,98865,3065014,2010,8,2011,7
Iluka Resources Limited,642775,181379,9015295,2010,8,2011,7
Incitec Pivot Limited,994797,158876,23355394,2010,8,2011,7
Independence Group NL,32765,21595,765769,2010,8,2011,7
Inghams Enterprises Pty Limited,68479,216914,1960266,2010,8,2011,7
