Controlling Corporation,ABN,Total Scope 1 Emission (t CO2-e),Total Scope 2 Emission (t CO2-e),Total Net Energy consumed  (GJ),Begin year,Begin Month,End year,End Month
HRL LIMITED ,89061930756,487922,57942,10960751,2013,8,2014,7
HUNTER WATER CORPORATION ,46228513446,31434,64733,328441,2013,8,2014,7
HUNTSMAN CORPORATION AUSTRALIA PTY LIMITED ,67083984187,17820,69638,2114486,2013,8,2014,7
HYDRO-ELECTRIC CORPORATION ,48072377158,373258,21217,4485436,2013,8,2014,7
HYNE & SON PTY. LIMITED ,67009660995,5464,48714,2238630,2013,8,2014,7
IBM A/NZ HOLDINGS PTY LIMITED ,12105319248,677,81370,321410,2013,8,2014,7
ICON WATER LTD ,86069381960,62031,147355,709521,2013,8,2014,7
IDEMITSU AUSTRALIA RESOURCES PTY LTD ,45010236272,75266,97709,2821154,2013,8,2014,7
ILUKA RESOURCES LIMITED ,34008675018,93738,78402,1785305,2013,8,2014,7
INCITEC PIVOT LIMITED ,42004080264,1317935,185229,29456294,2013,8,2014,7
INDEPENDENCE GROUP NL ,46092786304,39210,16976,794955,2013,8,2014,7
INGHAMS ENTERPRISES PTY. LIMITED ,20008447345,70724,209282,1896757,2013,8,2014,7
INTERCONTINENTAL SHIPPING PTY. LIMITED ,17008597699,116221,0,1651105,2013,8,2014,7
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LTD ,70105041209,16229760,199227,137827522,2013,8,2014,7
INVESTA PROPERTY GROUP HOLDINGS PTY LIMITED ,68125612419,2919,90121,421182,2013,8,2014,7
IPMG PTY LIMITED ,84123230259,12711,69473,511486,2013,8,2014,7
ISAAC PLAINS COAL MANAGEMENT PTY LTD ,76114277315,109310,28111,1073778,2013,8,2014,7
ISPT PTY LTD ,28064041283,3937,60008,305934,2013,8,2014,7
J.J. RICHARDS & SONS PTY LTD ,40000805425,73981,5102,1090281,2013,8,2014,7
JBS HOLDCO AUSTRALIA PTY LTD ,89126211023,196489,176727,2866446,2013,8,2014,7
JELLINBAH GROUP PTY LTD ,54010754793,214135,8335,1841592,2013,8,2014,7
JET SYSTEMS PTY. LIMITED ,34003469574,169169,1797,2439757,2013,8,2014,7
JOHN SWIRE & SONS PTY LTD ,88000106141,16950,63123,505381,2013,8,2014,7
KALARI PROPRIETARY LIMITED ,14004595395,55605,1430,804539,2013,8,2014,7
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD ,97009377619,204131,252279,4725655,2013,8,2014,7
KARARA MINING LIMITED ,68070871831,76923,264023,2331861,2013,8,2014,7
KEOLIS AUSTRALIA PTY LTD ,68132482850,2604,98563,329916,2013,8,2014,7
KILCOY INDUSTRIES AUSTRALIA PTY LTD ,16125927308,31561,19257,251138,2013,8,2014,7
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED ,59095905294,100019,80435,2411494,2013,8,2014,7
KNAUF AUSTRALIA PTY LTD 2,86003621181,-,-,-,2013,8,2014,7
LA TROBE UNIVERSITY 3,64804735113,21740,37825,483732,2013,8,2014,7
LANCO RESOURCES AUSTRALIA PTY LTD ,30147835452,45409,8075,688381,2013,8,2014,7
LDO COAL ,60140669932,284639,18447,102391,2013,8,2014,7
LEIGHTON HOLDINGS LIMITED ,57004482982,153239,92522,2604328,2013,8,2014,7
LEND LEASE CORPORATION LTD ,32000226228,101801,129152,2039181,2013,8,2014,7
LINDSAY AUSTRALIA LIMITED ,81061642733,93611,0,1360838,2013,8,2014,7
LINFOX PROPRIETARY LIMITED ,59004667298,219156,0,3326902,2013,8,2014,7
LION PTY LTD ,50128004268,76493,211147,2346731,2013,8,2014,7
LOY YANG HOLDINGS PTY LTD ,60057361805,8718191,3944,70240769,2013,8,2014,7
LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD ,74066270237,5525,112756,1485327,2013,8,2014,7
MACKAY SUGAR LIMITED ,12057463671,112872,9101,17127201,2013,8,2014,7
MACQUARIE GENERATION ,18402904344,20171437,202132,148796640,2013,8,2014,7
MANILDRA MILLING PTY LTD ,73002724021,287957,266639,6233088,2013,8,2014,7
MARS AUSTRALIA PTY LTD ,48008454313,31085,80755,864813,2013,8,2014,7
MATER MISERICORDIAE HEALTH SERVICES BRISBANE LIMITED ,83096708922,11322,41173,327761,2013,8,2014,7
MCALEESE LIMITED ,86156354068,221742,5215,3212307,2013,8,2014,7
MCCAIN FOODS (AUST) PTY LTD ,96000629587,31223,78463,1075145,2013,8,2014,7
MCDONALD'S AUSTRALIA LTD ,43008496928,1287,104772,441124,2013,8,2014,7
MELBOURNE WATER CORPORATION ,81945386953,107150,234952,1552935,2013,8,2014,7
METALS X LIMITED  ,110150055,56703,21967,935281,2013,8,2014,7
METCASH LIMITED ,32112073480,8776,83097,453992,2013,8,2014,7
METRO TRAINS MELBOURNE PTY LTD ,43136429948,6028,504277,1634622,2013,8,2014,7
METROPOLITAN HEALTH SERVICE ,13993250709,24935,131941,1077666,2013,8,2014,7
MINERAL RESOURCES LIMITED ,33118549910,73288,2620,1069616,2013,8,2014,7
